,chapter,dim0,dim1,book_number,book_name,book_ch,sentiment_score,chapter_length
591,114,0.0977892170378284,0.0509438167018179,19,Psalms,19-114,0.375,8
592,115,0.2515058340787578,-0.071134191587177,19,Psalms,19-115,0.2554744525547445,18
593,116,0.0173057354063399,-0.2008421867081583,19,Psalms,19-116,0.22,19
594,117,0.3967015508768795,0.071454007483814,19,Psalms,19-117,0.3181818181818182,2
595,118,0.1328398036667678,-0.1977983067764917,19,Psalms,19-118,0.2622950819672131,29
596,119,-0.1301787539876032,-0.110509663698701,19,Psalms,19-119,0.2539863325740319,176
597,120,-0.0572641002405,-0.0483126125555934,19,Psalms,19-120,0.1142857142857142,7
598,121,0.0170768789308529,-0.166586858600559,19,Psalms,19-121,0.1842105263157894,8
599,122,0.0833063809948075,-0.0553846181191663,19,Psalms,19-122,0.2962962962962963,9
600,123,0.1020258970339451,0.1099638889996876,19,Psalms,19-123,0.3636363636363636,4
601,124,0.062802396543263,0.1136596215391048,19,Psalms,19-124,0.2142857142857142,8
602,125,0.0254056736924017,-0.2940387899910757,19,Psalms,19-125,0.2105263157894736,5
603,126,0.1460963277633281,-0.0156465935017823,19,Psalms,19-126,0.2631578947368421,6
604,127,0.0467025490259659,-0.1363238116861501,19,Psalms,19-127,0.2413793103448276,5
605,128,0.0973914753107484,-0.1511865525538061,19,Psalms,19-128,0.2631578947368421,6
606,129,0.0697956196684966,-0.1220058398652248,19,Psalms,19-129,0.25,8
607,130,-0.0380466543220588,-0.1059840404547556,19,Psalms,19-130,0.2448979591836734,8
608,131,0.0038350361628976,-0.1324238419806752,19,Psalms,19-131,0.2702702702702703,3
609,132,0.1419897950160957,0.0298779804490045,19,Psalms,19-132,0.3294117647058823,18
610,133,0.1144916512414021,-0.0850492952456481,19,Psalms,19-133,0.2352941176470588,3
611,134,0.3239104438562175,-0.2127042817733295,19,Psalms,19-134,0.2903225806451613,3
612,135,0.3502198918454945,-0.1512013144276625,19,Psalms,19-135,0.2537313432835821,21
613,136,0.2381597571537828,-0.0201420010015527,19,Psalms,19-136,0.4299065420560747,26
614,137,0.1088223996792582,0.1215594723964527,19,Psalms,19-137,0.2040816326530612,9
615,138,0.1126352469352567,-0.1072596775086837,19,Psalms,19-138,0.296875,8
616,139,-0.2698387344160219,0.0146952530507103,19,Psalms,19-139,0.2558139534883721,24
617,140,-0.1346703052242213,-0.0577951130132153,19,Psalms,19-140,0.1653543307086614,13
618,141,-0.2159280147642782,-0.0520507540093055,19,Psalms,19-141,0.1318681318681318,10
619,142,-0.0885561401693121,-0.107303555236023,19,Psalms,19-142,0.3,7
620,143,-0.2588881250349056,-0.0793467648089753,19,Psalms,19-143,0.3066666666666666,12
621,144,0.027700866206242,-0.0049967928537745,19,Psalms,19-144,0.2195121951219512,15
622,145,0.1998337792865647,-0.1314250993758416,19,Psalms,19-145,0.2721518987341772,21
623,146,0.199674615774147,-0.1584926496784649,19,Psalms,19-146,0.2601626016260163,10
624,147,0.2672149461017607,-0.1239056994444391,19,Psalms,19-147,0.2878787878787879,20
625,148,0.391848815721313,0.0123362044250532,19,Psalms,19-148,0.2842105263157894,14
626,149,0.2465452204759031,0.1276897914145918,19,Psalms,19-149,0.3013698630136986,9
627,150,0.3440576758745735,0.0804553986286216,19,Psalms,19-150,0.328125,6
628,1,0.2977218483887566,-0.1961150620318066,20,Proverbs,20-1,0.2588235294117647,33
629,2,0.2228090914864989,-0.424091638353908,20,Proverbs,20-2,0.25,22
630,3,0.2990216397869447,-0.2115721555150664,20,Proverbs,20-3,0.2543103448275862,35
631,4,0.4812863784654437,-0.2230485472575787,20,Proverbs,20-4,0.2647058823529412,27
632,5,0.423143911999924,-0.0893692852333424,20,Proverbs,20-5,0.2533333333333333,23
633,6,0.2596612758125382,0.0637858794515567,20,Proverbs,20-6,0.1366459627329192,35
634,7,0.4720148997275086,-0.0082503245355029,20,Proverbs,20-7,0.2045454545454545,27
635,8,0.265908368016024,-0.1546148427606056,20,Proverbs,20-8,0.3011363636363636,36
636,9,0.187357320746357,0.0603628197443957,20,Proverbs,20-9,0.2717391304347826,18
637,10,-0.3784618540150992,-0.1689743002151241,20,Proverbs,20-10,0.238095238095238,32
638,11,-0.3478966161318464,-0.1783785205792815,20,Proverbs,20-11,0.1949685534591195,31
639,12,-0.3590159136422341,-0.1050184515671371,20,Proverbs,20-12,0.2026431718061674,28
640,13,-0.308897919151066,-0.0789964872347422,20,Proverbs,20-13,0.1963470319634703,25
641,14,-0.343786490494319,-0.11925308590159,20,Proverbs,20-14,0.2208588957055214,35
642,15,-0.267612460910949,-0.1486127956050444,20,Proverbs,20-15,0.2132867132867132,33
643,16,-0.2403891856210287,-0.0697801355764878,20,Proverbs,20-16,0.2213740458015267,33
644,17,-0.2223661919352554,0.1626661618759202,20,Proverbs,20-17,0.1975806451612903,28
645,18,-0.3005620796040653,0.1339550174247642,20,Proverbs,20-18,0.2409638554216867,24
646,19,-0.1784399404884806,0.0655281867306421,20,Proverbs,20-19,0.1950207468879668,29
647,20,-0.1355874364998747,0.2032284144958207,20,Proverbs,20-20,0.2240663900414937,30
648,21,-0.2822879927619082,-0.1369554498668035,20,Proverbs,20-21,0.2062780269058296,31
649,22,-0.0081896038924491,0.0107557504333869,20,Proverbs,20-22,0.2068965517241379,29
650,23,0.3532251244487527,0.1133917554291511,20,Proverbs,20-23,0.2072072072072072,35
651,24,0.062040788230955,-0.0817571504653213,20,Proverbs,20-24,0.2123893805309734,34
652,25,0.1869137311510916,0.3063877831129568,20,Proverbs,20-25,0.1949685534591195,28
653,26,-0.0615146641056116,0.4592883656014496,20,Proverbs,20-26,0.1024096385542168,28
654,27,0.018469048792503,0.3660504845569488,20,Proverbs,20-27,0.2233502538071066,27
655,28,-0.2450431876941472,-0.0132991119420807,20,Proverbs,20-28,0.221311475409836,28
656,29,-0.3200419263381259,-0.0049540983677106,20,Proverbs,20-29,0.2136752136752136,27
657,30,0.1441672685239295,0.320100608161305,20,Proverbs,20-30,0.2216494845360824,33
658,31,0.3263527677092319,0.147540215990836,20,Proverbs,20-31,0.2786885245901639,31
659,1,-0.0016800100111366,-0.3194736317190278,21,Ecclesiates,21-1,0.34375,18
660,2,-0.2972727861378141,-0.0789988050051956,21,Ecclesiates,21-2,0.2737430167597765,26
661,3,0.3378149223693856,0.6897608878748211,21,Ecclesiates,21-3,0.142156862745098,22
662,4,-0.3741646507756954,-0.1254190061473068,21,Ecclesiates,21-4,0.21875,17
663,5,0.0467350436909276,0.0031105009507238,21,Ecclesiates,21-5,0.1963470319634703,19
664,6,-0.1638080628009132,-0.0127529691761512,21,Ecclesiates,21-6,0.1720430107526881,12
665,7,-0.1624612606139968,-0.0232453842365454,21,Ecclesiates,21-7,0.2123893805309734,29
666,8,-0.0308795990562003,0.2996402098206253,21,Ecclesiates,21-8,0.1911764705882352,17
667,9,-0.2179073046139986,0.1344243191091137,21,Ecclesiates,21-9,0.2123893805309734,18
668,10,-0.1611562887888543,-0.04983538350971,21,Ecclesiates,21-10,0.19375,20
669,11,0.4769054236212848,-0.0550867700035318,21,Ecclesiates,21-11,0.2727272727272727,10
670,12,0.5478745731170112,-0.4621239679578151,21,Ecclesiates,21-12,0.1732283464566929,14
671,1,0.2219115676779001,-0.2889516431255549,22,Song of Songs,22-1,0.3809523809523809,17
672,2,-0.1576705868478509,0.2472518430150686,22,Song of Songs,22-2,0.28,17
673,3,0.6774742662079832,0.1809251481421994,22,Song of Songs,22-3,0.2549019607843137,11
674,4,-0.3914644168930818,-0.2634914545191584,22,Song of Songs,22-4,0.3409090909090909,16
675,5,-0.0363754233750208,0.5203523352677167,22,Song of Songs,22-5,0.3846153846153846,16
676,6,-0.3854422286606327,0.3033092157685875,22,Song of Songs,22-6,0.3454545454545454,13
677,7,-0.2373084851364192,-0.419727932752515,22,Song of Songs,22-7,0.2876712328767123,13
678,8,0.308875307027122,-0.2796675117963435,22,Song of Songs,22-8,0.2,14
679,1,-0.0845842750247747,0.024403218872035,23,Isaiah,23-1,0.2136752136752136,31
680,2,0.0802617031853029,-0.1391025180534693,23,Isaiah,23-2,0.2758620689655172,22
681,3,0.1139175901337243,-0.1707936264606824,23,Isaiah,23-3,0.2054794520547945,26
682,4,0.1400151833361065,-0.1355002229692734,23,Isaiah,23-4,0.2539682539682539,6
683,5,-0.0002237743967225,-0.1365068788868393,23,Isaiah,23-5,0.2,30
684,6,0.1789485492892393,0.0567389760983361,23,Isaiah,23-6,0.2,13
685,7,0.3239436989953307,0.179474621629197,23,Isaiah,23-7,0.2470588235294117,25
686,8,0.0918301172778559,0.1978063091581735,23,Isaiah,23-8,0.25,22
687,9,0.0420633917237633,-0.1542229181009884,23,Isaiah,23-9,0.2252747252747252,21
688,10,0.0719819467875843,-0.1087764273431861,23,Isaiah,23-10,0.1696750902527075,34
689,11,0.2418071841643303,-0.0951303616692257,23,Isaiah,23-11,0.3032258064516129,16
690,12,-0.1287394633664995,0.0624226243606394,23,Isaiah,23-12,0.2676056338028169,6
691,13,0.0740601678441448,-0.2186177962613666,23,Isaiah,23-13,0.1699029126213592,22
692,14,0.0448175209357194,-0.0294610338894385,23,Isaiah,23-14,0.2117117117117117,32
693,15,0.3081024246672825,-0.4137788077172772,23,Isaiah,23-15,0.1886792452830188,9
694,16,0.3138333151296446,-0.4099623798038863,23,Isaiah,23-16,0.2456140350877192,14
695,17,0.067769967795305,-0.1683199890217734,23,Isaiah,23-17,0.208,14
696,18,0.094312605819042,-0.1493215282871368,23,Isaiah,23-18,0.1864406779661017,7
697,19,0.2178246557975907,0.0710024805364351,23,Isaiah,23-19,0.2248803827751196,25
698,20,0.3891834341518522,0.2640364194311048,23,Isaiah,23-20,0.2424242424242424,6
699,21,0.0600488104041842,-0.0643849633975381,23,Isaiah,23-21,0.2295081967213114,17
700,22,0.21693693345975,-0.0271539699531974,23,Isaiah,23-22,0.1797235023041474,25
701,23,0.117943128471043,-0.094567667644833,23,Isaiah,23-23,0.2740740740740741,18
702,24,0.0283649045164155,-0.1819089080189114,23,Isaiah,23-24,0.1497797356828193,23
703,25,0.0730378712248252,-0.1791694966309157,23,Isaiah,23-25,0.1657142857142857,12
704,26,-0.11135459747989,-0.057859827000741,23,Isaiah,23-26,0.2252747252747252,21
705,27,0.0837313257387852,-0.08692872745614,23,Isaiah,23-27,0.1551724137931034,13
706,28,-0.0037101742618938,-0.1047777136513104,23,Isaiah,23-28,0.2064777327935222,29
707,29,-0.0983892436368862,-0.0267080797825538,23,Isaiah,23-29,0.2179487179487179,24
708,30,-0.0180466294447967,-0.0017082991717228,23,Isaiah,23-30,0.2208201892744479,33
709,31,0.0619721668581786,-0.0479821316013038,23,Isaiah,23-31,0.219047619047619,9
710,32,0.1312252814831273,-0.2078624818268857,23,Isaiah,23-32,0.2397260273972602,20
711,33,-0.0158440200366043,-0.1039242859747562,23,Isaiah,23-33,0.1948717948717948,24
712,34,0.0498405765588625,-0.194441368904883,23,Isaiah,23-34,0.1526717557251908,17
713,35,-0.0175078508213221,-0.1413379496199387,23,Isaiah,23-35,0.2427184466019417,10
714,36,0.4285145957252442,0.4994601806621061,23,Isaiah,23-36,0.3435582822085889,22
715,37,0.3068384743769762,0.4667028907083587,23,Isaiah,23-37,0.2215568862275449,38
716,38,0.2807941197683796,0.321719576418258,23,Isaiah,23-38,0.2011173184357542,22
717,39,0.430879428707834,0.4327268382646255,23,Isaiah,23-39,0.3265306122448979,8
718,40,-0.1998284744762216,0.006213701076989,23,Isaiah,23-40,0.2327586206896551,31
719,41,-0.2983582756642738,0.1456564919548091,23,Isaiah,23-41,0.2443181818181818,29
720,42,-0.2552740341616804,0.0846271168244585,23,Isaiah,23-42,0.2412060301507537,25
721,43,-0.335408729890249,0.1704776967434358,23,Isaiah,23-43,0.2165605095541401,28
722,44,-0.3230717206641336,0.1684153121822854,23,Isaiah,23-44,0.2780269058295964,28
723,45,-0.3219376655238402,0.1515667785302822,23,Isaiah,23-45,0.2549019607843137,25
724,46,-0.1803456524191033,0.1153697395638509,23,Isaiah,23-46,0.1948051948051948,13
725,47,-0.1522595077812225,0.0858046258097296,23,Isaiah,23-47,0.1964285714285714,15
726,48,-0.3005297126141013,0.1913225823532505,23,Isaiah,23-48,0.2746478873239437,22
727,49,-0.2422178670825902,0.1076459717216296,23,Isaiah,23-49,0.25,26
728,50,-0.1990852612432923,0.108198180211079,23,Isaiah,23-50,0.218978102189781,11
729,51,-0.1922064157201601,-0.0080670301610694,23,Isaiah,23-51,0.2037735849056604,23
730,52,-0.1446965573338629,0.0217237429012301,23,Isaiah,23-52,0.2388059701492537,15
731,53,-0.0067480424153844,-0.013306192984554,23,Isaiah,23-53,0.1403508771929824,12
732,54,-0.1567717896079685,0.0118271747687211,23,Isaiah,23-54,0.1897810218978102,17
733,55,-0.1894967440788149,0.0273771297236714,23,Isaiah,23-55,0.3092783505154639,13
734,56,-0.0915853638440666,0.0628060829443928,23,Isaiah,23-56,0.3176470588235294,12
735,57,-0.0905617390468572,-0.0305766357635375,23,Isaiah,23-57,0.1866666666666666,21
