index,chapter,dim0,dim1,book
10,11,-0.09267976302983179,0.3839170114806515,6
11,12,0.11324951800049411,0.7252637760474108,6
12,13,0.36162776373726835,0.08357599525099389,6
13,14,-0.012136195607777683,-0.17682574853162464,6
14,15,0.5461488601676542,-0.03991909760508726,6
15,16,0.5676237746250822,-0.11489755270581514,6
16,17,0.3512176666480039,-0.09999470141087105,6
17,18,0.4513464063809934,-0.13563968969928464,6
18,19,0.594573389820811,-0.08664762099157663,6
19,20,0.03932759614145192,0.0912363461427246,6
20,21,0.2727502867847342,-0.0012085896968091416,6
21,22,-0.10272416786160064,-0.18970103376019526,6
22,23,-0.2642954628972653,-0.28224497650047026,6
23,24,-0.24050800050198043,-0.152016873528298,6
0,1,-0.040705936872227955,0.11801355642847111,7
1,2,-0.23298720520277136,-0.03432045159617858,7
2,3,-0.3013169478487089,0.02643209465755618,7
3,4,-0.10629952517319516,-0.14768710255107992,7
4,5,-0.08479864893136935,-0.18694294177512158,7
5,6,-0.011194787175763709,-0.30836539360610576,7
6,7,0.0771016090166656,-0.38221377571031984,7
7,8,0.05906365277078248,-0.29867827942341113,7
8,9,0.13684745887076724,-0.00465666011084265,7
9,10,-0.41457350875987803,0.10912858241607765,7
10,11,-0.41231527699630666,0.15356712542487005,7
11,12,-0.27745291608319034,0.15735184344308598,7
12,13,0.14283527902109128,-0.18149784176094655,7
13,14,0.3489435236250651,-0.08447344548256686,7
14,15,0.3925438915104048,-0.1767711274082926,7
15,16,0.41693512920140596,-0.18025531772974013,7
16,17,0.37402168323055013,0.6196983560430379,7
17,18,0.2655846329079018,0.588637787320955,7
18,19,0.17945450586925535,0.08391719349048624,7
19,20,-0.2757652337757448,0.07610602000635236,7
20,21,-0.23592137920473402,0.053009777923713135,7
0,1,-0.31136370278996706,0.6192767505851305,8
1,2,-0.1760391005402038,-0.2752900050031931,8
2,3,-0.22991914329325258,-0.41289144164275027,8
3,4,0.7173219466234234,0.0689046960608129,8
0,1,-0.3082813153289525,0.007787944455406633,9
1,2,-0.3159351865357957,-0.04164427355649251,9
2,3,-0.3805310130970374,-0.16782529418851727,9
3,4,-0.3119279291107883,0.42788684530261234,9
4,5,-0.32906466649935173,0.6259961035699745,9
5,6,-0.31202267867212186,0.503986277932729,9
6,7,-0.41358950737685557,0.13047162095956585,9
7,8,-0.28942472305236233,-0.23956420189385874,9
8,9,-0.14694984280950493,-0.26551410573062045,9
9,10,-0.2248567653505791,-0.24779591271669246,9
10,11,-0.13767432643827823,-0.13643701856606924,9
11,12,-0.3165055696921121,-0.1729061452746004,9
12,13,-0.15248584699299153,-0.09539677442712542,9
13,14,-0.03192657234928197,-0.11721559616558408,9
14,15,-0.2166392052498909,-0.32301576441506735,9
15,16,-0.06721968520528862,-0.23700860265419793,9
16,17,0.30282150845195765,0.07498697111128902,9
17,18,0.505186557217683,-0.021190886842584657,9
18,19,0.3552959383537724,-0.10608858181633349,9
19,20,0.23721176721753362,-0.021847984001854497,9
20,21,0.30881141025494313,0.055414286863203564,9
21,22,0.1982373789965925,-0.08492282704080582,9
22,23,0.3910017311546816,0.029363054769648973,9
23,24,0.29060454155942794,-0.08333382666905143,9
24,25,0.20037649688798995,0.09054938429741882,9
25,26,0.313644047596723,-0.07140009621250883,9
26,27,0.3944097412872504,0.2414056042353775,9
27,28,-0.004699179243466461,-0.1947892371312849,9
28,29,0.15188111320967618,0.2109646146637321,9
29,30,0.34762810112242953,0.16170202439307052,9
30,31,-0.037376320306002415,0.06738239674922007,9
0,1,-0.12043477554450037,0.09498037137969853,10
1,2,-0.23122621672187024,0.5285757805772598,10
2,3,-0.22968032625709223,0.5092486257765853,10
3,4,-0.33609599419158454,0.45056529906651854,10
4,5,-0.16834162173168796,-0.08784150326910288,10
5,6,-0.20494804635361707,-0.2829010210437207,10
6,7,-0.0018604652156240472,-0.2804929576128627,10
7,8,-0.3349956067496252,-0.2683839617255328,10
8,9,0.1403569725912091,0.1271634714860828,10
9,10,-0.2331499351336443,-0.251638960658348,10
10,11,-0.06775441496039596,-0.08495384987631897,10
11,12,-0.136412388559184,-0.17644362697225469,10
12,13,0.30915358687067984,0.039509303879821434,10
13,14,0.4270187763447902,0.030537138128195796,10
14,15,0.4014154532109542,-0.04425545420630401,10
15,16,0.385592512930954,0.03827685748058567,10
16,17,0.30216760433593126,0.009982392668405943,10
17,18,0.3456907743873442,0.06754296855767881,10
18,19,0.35745321351831755,0.014936022309180341,10
19,20,0.07020899139961302,0.08239890425347127,10
20,21,-0.21423894897604778,0.09035489789540074,10
21,22,-0.20152765133791584,-0.3330099264276285,10
22,23,-0.30557802500495096,-0.10761356967702208,10
23,24,0.04718653114794801,-0.1665372019897893,10
0,1,-0.08344129249960133,-0.2345499555861843,11
1,2,-0.17006889305966064,-0.14937658992212852,11
2,3,-0.07511866777988228,-0.016197055172283373,11
3,4,0.2833038077397427,-0.1688768088261666,11
4,5,0.3786234284875654,-0.051411471711120406,11
5,6,0.6423306848973043,0.37796623965770826,11
6,7,0.630023646592725,0.364454018504228,11
7,8,-0.04518749100664092,0.01530832454825139,11
8,9,0.2728123909824698,-0.1741422019248233,11
9,10,0.3352585962946775,-0.11455725781699222,11
10,11,0.017338545011408378,-0.22868547948149198,11
11,12,-0.12847179055703592,-0.1517096255486371,11
12,13,-0.253709139395279,0.1647197943441728,11
13,14,-0.1274764386540497,-0.23557171072794816,11
14,15,-0.0379675784709861,-0.4360705803348214,11
15,16,-0.07207512154020741,-0.3272876627306987,11
16,17,-0.3209438296453521,0.3974304449362305,11
17,18,-0.3316187964363563,0.45779220934845544,11
18,19,-0.32307796467423455,0.364597836780646,11
19,20,-0.2184722747580998,0.008148044960781049,11
20,21,-0.147436218622996,0.27673122229951247,11
21,22,-0.22462560290551106,-0.13871173559668976,11
0,1,0.34016731767616487,-0.02186637378822082,12
1,2,0.46144113092837225,0.01606506561829394,12
2,3,0.1232901973531411,-0.13564235211608483,12
3,4,0.43112347002203083,0.02533471636920405,12
4,5,0.3349510539204883,0.0033754920989021034,12
5,6,0.401571503250793,-0.0566376274837549,12
6,7,0.2838331094236012,0.046129165585308586,12
7,8,0.1081182683105375,-0.2512654071882055,12
8,9,0.34554044281859025,-0.14493294008186278,12
9,10,0.2518380700251599,-0.1524128736152811,12
10,11,-0.1411813129345009,0.027167773485383854,12
11,12,-0.26249403665291127,-0.01249006126280511,12
12,13,-0.04572811925514782,-0.4157092684677251,12
13,14,-0.31883604652574715,-0.3926144162069684,12
14,15,-0.34996092868566997,-0.30663446979524767,12
15,16,-0.2593171644851885,-0.008460495769924716,12
16,17,-0.20206841076150606,0.1028989341196078,12
17,18,-0.18946697475754853,0.41821126481472237,12
18,19,-0.015700700427520652,0.49313190800427287,12
19,20,0.04203971395105438,0.5490772946666478,12
20,21,-0.31294251046183247,-0.06637322238730961,12
21,22,-0.18465172014125072,0.1716492080802476,12
22,23,-0.3028636085894415,-0.015543681309436876,12
23,24,-0.3236488942745362,0.04443342621181512,12
24,25,-0.21505384972713215,0.08310894041842105,12
0,1,-0.31201601654878824,0.011233994999164451,13
1,2,-0.4036308206536546,-0.09100237289613054,13
2,3,-0.4201658034347594,0.0007084453071063628,13
3,4,-0.39598407133735636,-0.12590372702194305,13
4,5,-0.23019336750155925,-0.17996305162418014,13
5,6,-0.32519065246659096,0.016568468752987148,13
6,7,-0.41935903798189955,-0.08588322706278,13
7,8,-0.4273550049102946,-0.09597355167835049,13
8,9,-0.3568091660418198,0.02440910660169995,13
9,10,0.12301306385647996,-0.2984498988138457,13
10,11,0.14364738154721926,-0.2978449873395974,13
11,12,0.11299870571606553,-0.2742829248733535,13
12,13,0.34657872509370447,0.07526489169966398,13
13,14,0.26639994172044346,-0.26941684267235977,13
14,15,0.15631316639013124,0.2603141098124003,13
15,16,0.39436243289250467,0.320732414827186,13
16,17,0.40730595209520426,0.13317134199122824,13
17,18,0.19430092847087663,-0.32876848029790096,13
18,19,0.2331864412990254,-0.42900539457475134,13
19,20,0.15187598725431217,-0.4115057413846014,13
20,21,0.4197259401993877,-0.0226831517431076,13
21,22,0.4725657173461212,0.20540265278367562,13
22,23,-0.1026486405347072,0.4309112355289119,13
23,24,-0.2875970056440067,0.37865252664934473,13
24,25,-0.18313709333817943,0.393263702788153,13
25,26,-0.1916473830549727,0.2549535807892395,13
26,27,-0.1251714991119914,-0.016507696634731936,13
